V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	Symbol
14	32916249	32916449	14:32916249-32916449	.	.	32916249	32916449	0	1	200	32916246	cluster_1	Wdfy4
15	67353653	67353853	15:67353653-67353853	.	.	67353653	67353853	0	1	200	67353647	cluster_1	1700012I11Rik
15	73489535	73489735	15:73489535-73489735	.	.	73489535	73489735	0	1	200	73489528	cluster_1	Slc45a4
16	23970089	23970289	16:23970089-23970289	.	.	23970089	23970289	0	1	200	23970087	cluster_1	Gm32126
17	47502446	47502646	17:47502446-47502646	.	.	47502446	47502646	0	1	200	47502442	cluster_1	Trerf1
17	51300755	51300955	17:51300755-51300955	.	.	51300755	51300955	0	1	200	51300750	cluster_1	Tbc1d5
18	5376695	5376895	18:5376695-5376895	.	.	5376695	5376895	0	1	200	5376690	cluster_1	Gm50065
1	119462188	119462388	1:119462188-119462388	.	.	119462188	119462388	0	1	200	119462187	cluster_2	3830432H09Rik
1	143875178	143875378	1:143875178-143875378	.	.	143875178	143875378	0	1	200	143875177	cluster_2	Rgs2
1	171677108	171677308	1:171677108-171677308	.	.	171677108	171677308	0	1	200	171677107	cluster_2	Cd84
1	176680821	176681021	1:176680821-176681021	.	.	176680821	176681021	0	1	200	176680820	cluster_2	Hmga2-ps1
2	3665228	3665428	2:3665228-3665428	.	.	3665228	3665428	0	1	200	3665225	cluster_2	Fam107b
2	4536371	4536571	2:4536371-4536571	.	.	4536371	4536571	0	1	200	4536367	cluster_2	Frmd4a
2	5774540	5774740	2:5774540-5774740	.	.	5774540	5774740	0	1	200	5774535	cluster_2	Cdc123
2	6744897	6745097	2:6744897-6745097	.	.	6744897	6745097	0	1	200	6744891	cluster_2	Celf2
2	33093441	33093641	2:33093441-33093641	.	.	33093441	33093641	0	1	200	33093438	cluster_2	Angptl2
2	86005828	86006028	2:86005828-86006028	.	.	86005828	86006028	0	1	200	86005820	cluster_2	Olfr1044
2	145708757	145708957	2:145708757-145708957	.	.	145708757	145708957	0	1	200	145708756	cluster_2	Rin2
3	90172282	90172482	3:90172282-90172482	.	.	90172282	90172482	0	1	200	90172273	cluster_2	Dennd4b
3	97731362	97731562	3:97731362-97731562	.	.	97731362	97731562	0	1	200	97731353	cluster_2	Pde4dip
3	148624150	148624350	3:148624150-148624350	.	.	148624150	148624350	0	1	200	148624149	cluster_2	Adgrl2
4	45142561	45142761	4:45142561-45142761	.	.	45142561	45142761	0	1	200	45142557	cluster_2	Tomm5
4	95050653	95050853	4:95050653-95050853	.	.	95050653	95050853	0	1	200	95050644	cluster_2	Gm28096
4	95097640	95097840	4:95097640-95097840	.	.	95097640	95097840	0	1	200	95097631	cluster_2	Gm12708
4	102577264	102577464	4:102577264-102577464	.	.	102577264	102577464	0	1	200	102577263	cluster_2	Sgip1
4	137222794	137222994	4:137222794-137222994	.	.	137222794	137222994	0	1	200	137222793	cluster_2	Hspg2
5	20100996	20101196	5:20100996-20101196	.	.	20100996	20101196	0	1	200	20100994	cluster_2	Magi2
5	72880839	72881039	5:72880839-72881039	.	.	72880839	72881039	0	1	200	72880832	cluster_2	Txk
5	117296833	117297033	5:117296833-117297033	.	.	117296833	117297033	0	1	200	117296832	cluster_2	Taok3
5	120664476	120664676	5:120664476-120664676	.	.	120664476	120664676	0	1	200	120664475	cluster_2	Slc8b1
5	123039893	123040093	5:123039893-123040093	.	.	123039893	123040093	0	1	200	123039892	cluster_2	Kdm2b
5	132287855	132288055	5:132287855-132288055	.	.	132287855	132288055	0	1	200	132287854	cluster_2	Auts2
5	145035109	145035309	5:145035109-145035309	.	.	145035109	145035309	0	1	200	145035108	cluster_2	Arpc1a
6	95031088	95031288	6:95031088-95031288	.	.	95031088	95031288	0	1	200	95031079	cluster_2	Kbtbd8
6	99225474	99225674	6:99225474-99225674	.	.	99225474	99225674	0	1	200	99225465	cluster_2	Foxp1
6	100487750	100487950	6:100487750-100487950	.	.	100487750	100487950	0	1	200	100487749	cluster_2	Gm44107
6	145015202	145015402	6:145015202-145015402	.	.	145015202	145015402	0	1	200	145015201	cluster_2	Bcat1
6	146008984	146009184	6:146008984-146009184	.	.	146008984	146009184	0	1	200	146008983	cluster_2	Itpr2
7	24706114	24706314	7:24706114-24706314	.	.	24706114	24706314	0	1	200	24706112	cluster_2	Atp1a3
7	96126639	96126839	7:96126639-96126839	.	.	96126639	96126839	0	1	200	96126630	cluster_2	Tenm4
7	114930989	114931189	7:114930989-114931189	.	.	114930989	114931189	0	1	200	114930988	cluster_2	
7	125071332	125071532	7:125071332-125071532	.	.	125071332	125071532	0	1	200	125071331	cluster_2	Nsmce1
8	3733851	3734051	8:3733851-3734051	.	.	3733851	3734051	0	1	200	3733848	cluster_2	Fcer2a
8	34458409	34458609	8:34458409-34458609	.	.	34458409	34458609	0	1	200	34458406	cluster_2	Gm39157
8	95691585	95691785	8:95691585-95691785	.	.	95691585	95691785	0	1	200	95691576	cluster_2	Adgrg1
8	115953970	115954170	8:115953970-115954170	.	.	115953970	115954170	0	1	200	115953969	cluster_2	4930488N15Rik
8	116003149	116003349	8:116003149-116003349	.	.	116003149	116003349	0	1	200	116003148	cluster_2	4930488N15Rik
8	121039286	121039486	8:121039286-121039486	.	.	121039286	121039486	0	1	200	121039285	cluster_2	
8	121104687	121104887	8:121104687-121104887	.	.	121104687	121104887	0	1	200	121104686	cluster_2	
8	122604095	122604295	8:122604095-122604295	.	.	122604095	122604295	0	1	200	122604094	cluster_2	Slc7a5
9	42039330	42039530	9:42039330-42039530	.	.	42039330	42039530	0	1	200	42039326	cluster_2	Sorl1
9	56015562	56015762	9:56015562-56015762	.	.	56015562	56015762	0	1	200	56015557	cluster_2	Pstpip1
9	58309057	58309257	9:58309057-58309257	.	.	58309057	58309257	0	1	200	58309052	cluster_2	1700072B07Rik
9	112006939	112007139	9:112006939-112007139	.	.	112006939	112007139	0	1	200	112006938	cluster_2	Arpp21
10	14350788	14350988	10:14350788-14350988	.	.	14350788	14350988	0	1	200	14350787	cluster_2	Gm46212
11	75924813	75925013	11:75924813-75925013	.	.	75924813	75925013	0	1	200	75924806	cluster_2	Rflnb
11	76389147	76389347	11:76389147-76389347	.	.	76389147	76389347	0	1	200	76389140	cluster_2	Abr
11	110056801	110057001	11:110056801-110057001	.	.	110056801	110057001	0	1	200	110056800	cluster_2	Abca9
12	5258030	5258230	12:5258030-5258230	.	.	5258030	5258230	0	1	200	5258025	cluster_2	Klhl29
12	17765791	17765991	12:17765791-17765991	.	.	17765791	17765991	0	1	200	17765790	cluster_2	Hpcal1
12	84322169	84322369	12:84322169-84322369	.	.	84322169	84322369	0	1	200	84322161	cluster_2	Ptgr2
12	102263414	102263614	12:102263414-102263614	.	.	102263414	102263614	0	1	200	102263413	cluster_2	Rin3
12	112797230	112797430	12:112797230-112797430	.	.	112797230	112797430	0	1	200	112797229	cluster_2	
12	119447803	119448003	12:119447803-119448003	.	.	119447803	119448003	0	1	200	119447802	cluster_2	Macc1
13	49445517	49445717	13:49445517-49445717	.	.	49445517	49445717	0	1	200	49445513	cluster_2	Fgd3
13	54369925	54370125	13:54369925-54370125	.	.	54369925	54370125	0	1	200	54369920	cluster_2	Hrh2
13	58185385	58185585	13:58185385-58185585	.	.	58185385	58185585	0	1	200	58185380	cluster_2	Klhl3
14	29891484	29891684	14:29891484-29891684	.	.	29891484	29891684	0	1	200	29891482	cluster_2	Cacna1d
14	105669097	105669297	14:105669097-105669297	.	.	105669097	105669297	0	1	200	105669096	cluster_2	5430440P10Rik
15	34390222	34390422	15:34390222-34390422	.	.	34390222	34390422	0	1	200	34390219	cluster_2	9430069I07Rik
15	57844192	57844392	15:57844192-57844392	.	.	57844192	57844392	0	1	200	57844187	cluster_2	Fam83a
15	67334794	67334994	15:67334794-67334994	.	.	67334794	67334994	0	1	200	67334788	cluster_2	1700012I11Rik
15	97320262	97320462	15:97320262-97320462	.	.	97320262	97320462	0	1	200	97320253	cluster_2	
15	100571842	100572042	15:100571842-100572042	.	.	100571842	100572042	0	1	200	100571841	cluster_2	Bin2
16	23812025	23812225	16:23812025-23812225	.	.	23812025	23812225	0	1	200	23812023	cluster_2	Bcl6
17	8444122	8444322	17:8444122-8444322	.	.	8444122	8444322	0	1	200	8444114	cluster_2	Ccr6
17	31289887	31290087	17:31289887-31290087	.	.	31289887	31290087	0	1	200	31289884	cluster_2	Abcg1
17	32412122	32412322	17:32412122-32412322	.	.	32412122	32412322	0	1	200	32412119	cluster_2	Ephx3
17	53894529	53894729	17:53894529-53894729	.	.	53894529	53894729	0	1	200	53894524	cluster_2	Kat2b
17	57377384	57377584	17:57377384-57377584	.	.	57377384	57377584	0	1	200	57377379	cluster_2	Gm49888
17	87131998	87132198	17:87131998-87132198	.	.	87131998	87132198	0	1	200	87131990	cluster_2	Epas1
18	76028954	76029154	18:76028954-76029154	.	.	76028954	76029154	0	1	200	76028947	cluster_2	Zbtb7c
19	48512340	48512540	19:48512340-48512540	.	.	48512340	48512540	0	1	200	48512336	cluster_2	Sorcs3
19	55648609	55648809	19:55648609-55648809	.	.	55648609	55648809	0	1	200	55648604	cluster_2	Tcf7l2
1	55475864	55476064	1:55475864-55476064	.	.	55475864	55476064	0	1	200	55475859	cluster_3	Plcl1
1	97646306	97646506	1:97646306-97646506	.	.	97646306	97646506	0	1	200	97646297	cluster_3	Ppip5k2
1	128640684	128640884	1:128640684-128640884	.	.	128640684	128640884	0	1	200	128640683	cluster_3	Gm26686
1	130628080	130628280	1:130628080-130628280	.	.	130628080	130628280	0	1	200	130628079	cluster_3	Pfkfb2
2	27359434	27359634	2:27359434-27359634	.	.	27359434	27359634	0	1	200	27359432	cluster_3	Brd3
2	117842290	117842490	2:117842290-117842490	.	.	117842290	117842490	0	1	200	117842289	cluster_3	Gm13986
2	120124719	120124919	2:120124719-120124919	.	.	120124719	120124919	0	1	200	120124718	cluster_3	Pla2g4d
3	10142282	10142482	3:10142282-10142482	.	.	10142282	10142482	0	1	200	10142281	cluster_3	Myef2l
3	38406211	38406411	3:38406211-38406411	.	.	38406211	38406411	0	1	200	38406208	cluster_3	Gm42920
3	87635402	87635602	3:87635402-87635602	.	.	87635402	87635602	0	1	200	87635394	cluster_3	Lrrc71
3	101201147	101201347	3:101201147-101201347	.	.	101201147	101201347	0	1	200	101201146	cluster_3	
3	145950459	145950659	3:145950459-145950659	.	.	145950459	145950659	0	1	200	145950458	cluster_3	Lpar3
4	3782642	3782842	4:3782642-3782842	.	.	3782642	3782842	0	1	200	3782639	cluster_3	Lyn
4	57104019	57104219	4:57104019-57104219	.	.	57104019	57104219	0	1	200	57104014	cluster_3	Epb41l4b
4	106420677	106420877	4:106420677-106420877	.	.	106420677	106420877	0	1	200	106420676	cluster_3	Dhcr24
4	114521347	114521547	4:114521347-114521547	.	.	114521347	114521547	0	1	200	114521346	cluster_3	Gm28864
4	129702249	129702449	4:129702249-129702449	.	.	129702249	129702449	0	1	200	129702248	cluster_3	
4	137542886	137543086	4:137542886-137543086	.	.	137542886	137543086	0	1	200	137542885	cluster_3	Alpl
4	141884164	141884364	4:141884164-141884364	.	.	141884164	141884364	0	1	200	141884163	cluster_3	Kazn
4	153599998	153600198	4:153599998-153600198	.	.	153599998	153600198	0	1	200	153599997	cluster_3	Ajap1
5	52244213	52244413	5:52244213-52244413	.	.	52244213	52244413	0	1	200	52244208	cluster_3	Gm43177
5	99414308	99414508	5:99414308-99414508	.	.	99414308	99414508	0	1	200	99414299	cluster_3	Gm35394
5	100497007	100497207	5:100497007-100497207	.	.	100497007	100497207	0	1	200	100497006	cluster_3	Sec31a
5	112492078	112492278	5:112492078-112492278	.	.	112492078	112492278	0	1	200	112492077	cluster_3	Hps4
5	144118200	144118400	5:144118200-144118400	.	.	144118200	144118400	0	1	200	144118199	cluster_3	Bhlha15
6	37261970	37262170	6:37261970-37262170	.	.	37261970	37262170	0	1	200	37261967	cluster_3	Dgki
6	83868297	83868497	6:83868297-83868497	.	.	83868297	83868497	0	1	200	83868289	cluster_3	Zfp638
6	108679675	108679875	6:108679675-108679875	.	.	108679675	108679875	0	1	200	108679674	cluster_3	Bhlhe40
6	114983102	114983302	6:114983102-114983302	.	.	114983102	114983302	0	1	200	114983101	cluster_3	Tamm41
6	122361165	122361365	6:122361165-122361365	.	.	122361165	122361365	0	1	200	122361164	cluster_3	1700063H04Rik
6	141015733	141015933	6:141015733-141015933	.	.	141015733	141015933	0	1	200	141015732	cluster_3	Gm30524
6	145094790	145094990	6:145094790-145094990	.	.	145094790	145094990	0	1	200	145094789	cluster_3	Irag2
7	28283460	28283660	7:28283460-28283660	.	.	28283460	28283660	0	1	200	28283458	cluster_3	Pak4
7	29146960	29147160	7:29146960-29147160	.	.	29146960	29147160	0	1	200	29146958	cluster_3	Sipa1l3
7	83970761	83970961	7:83970761-83970961	.	.	83970761	83970961	0	1	200	83970753	cluster_3	Arnt2
7	111840036	111840236	7:111840036-111840236	.	.	111840036	111840236	0	1	200	111840035	cluster_3	Mical2
7	127488098	127488298	7:127488098-127488298	.	.	127488098	127488298	0	1	200	127488097	cluster_3	Prss53
8	27204249	27204449	8:27204249-27204449	.	.	27204249	27204449	0	1	200	27204247	cluster_3	Gm32098
8	33938773	33938973	8:33938773-33938973	.	.	33938773	33938973	0	1	200	33938770	cluster_3	Purg
8	93602534	93602734	8:93602534-93602734	.	.	93602534	93602734	0	1	200	93602525	cluster_3	Gm45472
8	123408402	123408602	8:123408402-123408602	.	.	123408402	123408602	0	1	200	123408401	cluster_3	Cbfa2t3
8	126710323	126710523	8:126710323-126710523	.	.	126710323	126710523	0	1	200	126710322	cluster_3	Kcnk1
9	57885412	57885612	9:57885412-57885612	.	.	57885412	57885612	0	1	200	57885407	cluster_3	Gm17322
9	61012923	61013123	9:61012923-61013123	.	.	61012923	61013123	0	1	200	61012917	cluster_3	4933433G08Rik
9	61296768	61296968	9:61296768-61296968	.	.	61296768	61296968	0	1	200	61296762	cluster_3	Tle3
9	65980192	65980392	9:65980192-65980392	.	.	65980192	65980392	0	1	200	65980186	cluster_3	Snx22
9	99064396	99064596	9:99064396-99064596	.	.	99064396	99064596	0	1	200	99064387	cluster_3	
9	108593488	108593688	9:108593488-108593688	.	.	108593488	108593688	0	1	200	108593487	cluster_3	Prkar2a
9	110909964	110910164	9:110909964-110910164	.	.	110909964	110910164	0	1	200	110909963	cluster_3	Ccrl2
10	13822322	13822522	10:13822322-13822522	.	.	13822322	13822522	0	1	200	13822321	cluster_3	
10	21765375	21765575	10:21765375-21765575	.	.	21765375	21765575	0	1	200	21765373	cluster_3	Sgk1
10	42169911	42170111	10:42169911-42170111	.	.	42169911	42170111	0	1	200	42169907	cluster_3	
10	59072320	59072520	10:59072320-59072520	.	.	59072320	59072520	0	1	200	59072315	cluster_3	Sowahc
10	77386930	77387130	10:77386930-77387130	.	.	77386930	77387130	0	1	200	77386923	cluster_3	Itgb2
10	95603630	95603830	10:95603630-95603830	.	.	95603630	95603830	0	1	200	95603621	cluster_3	
10	96301906	96302106	10:96301906-96302106	.	.	96301906	96302106	0	1	200	96301897	cluster_3	Gm48505
10	96522041	96522241	10:96522041-96522241	.	.	96522041	96522241	0	1	200	96522032	cluster_3	Btg1
11	74467973	74468173	11:74467973-74468173	.	.	74467973	74468173	0	1	200	74467966	cluster_3	Rap1gap2
11	113529664	113529864	11:113529664-113529864	.	.	113529664	113529864	0	1	200	113529663	cluster_3	Cog1
11	114084933	114085133	11:114084933-114085133	.	.	114084933	114085133	0	1	200	114084932	cluster_3	1700092K14Rik
13	47150951	47151151	13:47150951-47151151	.	.	47150951	47151151	0	1	200	47150947	cluster_3	2010001K21Rik
14	14540535	14540735	14:14540535-14540735	.	.	14540535	14540735	0	1	200	14540534	cluster_3	Gm45521
14	103950475	103950675	14:103950475-103950675	.	.	103950475	103950675	0	1	200	103950474	cluster_3	Slain1os
15	8693332	8693532	15:8693332-8693532	.	.	8693332	8693532	0	1	200	8693324	cluster_3	Slc1a3
15	37654673	37654873	15:37654673-37654873	.	.	37654673	37654873	0	1	200	37654670	cluster_3	Gm15942
15	59656182	59656382	15:59656182-59656382	.	.	59656182	59656382	0	1	200	59656177	cluster_3	Gm19510
15	78152159	78152359	15:78152159-78152359	.	.	78152159	78152359	0	1	200	78152152	cluster_3	Ncf4
15	82893870	82894070	15:82893870-82894070	.	.	82893870	82894070	0	1	200	82893862	cluster_3	Nfam1
15	84604085	84604285	15:84604085-84604285	.	.	84604085	84604285	0	1	200	84604077	cluster_3	Arhgap8
16	17987121	17987321	16:17987121-17987321	.	.	17987121	17987321	0	1	200	17987120	cluster_3	Rtn4r
16	23746580	23746780	16:23746580-23746780	.	.	23746580	23746780	0	1	200	23746578	cluster_3	Rtp2
16	29591563	29591763	16:29591563-29591763	.	.	29591563	29591763	0	1	200	29591561	cluster_3	Gm49636
16	29749350	29749550	16:29749350-29749550	.	.	29749350	29749550	0	1	200	29749348	cluster_3	Gm26569
16	59399677	59399877	16:59399677-59399877	.	.	59399677	59399877	0	1	200	59399672	cluster_3	Crybg3
17	36003367	36003567	17:36003367-36003567	.	.	36003367	36003567	0	1	200	36003364	cluster_3	Ddr1
17	48623023	48623223	17:48623023-48623223	.	.	48623023	48623223	0	1	200	48623019	cluster_3	B430306N03Rik
17	48866008	48866208	17:48866008-48866208	.	.	48866008	48866208	0	1	200	48866004	cluster_3	Gm49896
17	50488010	50488210	17:50488010-50488210	.	.	50488010	50488210	0	1	200	50488005	cluster_3	Rftn1
17	65088171	65088371	17:65088171-65088371	.	.	65088171	65088371	0	1	200	65088165	cluster_3	Dreh
17	69544577	69544777	17:69544577-69544777	.	.	69544577	69544777	0	1	200	69544571	cluster_3	Epb41l3
17	72262127	72262327	17:72262127-72262327	.	.	72262127	72262327	0	1	200	72262120	cluster_3	Clip4
17	87713079	87713279	17:87713079-87713279	.	.	87713079	87713279	0	1	200	87713071	cluster_3	Stpg4
18	39130217	39130417	18:39130217-39130417	.	.	39130217	39130417	0	1	200	39130214	cluster_3	Gm15334
18	65105319	65105519	18:65105319-65105519	.	.	65105319	65105519	0	1	200	65105313	cluster_3	Nedd4l
18	70588089	70588289	18:70588089-70588289	.	.	70588089	70588289	0	1	200	70588082	cluster_3	4930503L19Rik
18	89215488	89215688	18:89215488-89215688	.	.	89215488	89215688	0	1	200	89215480	cluster_3	Cd226
19	29441156	29441356	19:29441156-29441356	.	.	29441156	29441356	0	1	200	29441154	cluster_3	A930007I19Rik
19	37150252	37150452	19:37150252-37150452	.	.	37150252	37150452	0	1	200	37150249	cluster_3	A330032B11Rik
19	38123328	38123528	19:38123328-38123528	.	.	38123328	38123528	0	1	200	38123325	cluster_3	Pde6c
19	58327069	58327269	19:58327069-58327269	.	.	58327069	58327269	0	1	200	58327064	cluster_3	Gfra1
